Epoch,Loss,Recall@10,NDCG@10,Precision@10,HitRate@10,Accuracy@10
1,0.5828,0.0037,0.0067,0.0061,0.0578,0.0061
2,0.5598,0.0064,0.0114,0.0091,0.0845,0.0091
3,0.5520,0.0084,0.0125,0.0116,0.1041,0.0116
4,0.5519,0.0101,0.0153,0.0138,0.1217,0.0138
5,0.5498,0.0107,0.0162,0.0148,0.1297,0.0148
6,0.5484,0.0102,0.0156,0.0142,0.1254,0.0142
7,0.5456,0.0098,0.0150,0.0138,0.1218,0.0138
8,0.5437,0.0099,0.0153,0.0140,0.1232,0.0140
9,0.5410,0.0100,0.0159,0.0142,0.1257,0.0142
10,0.5380,0.0101,0.0162,0.0143,0.1262,0.0143
11,0.5355,0.0103,0.0162,0.0143,0.1260,0.0143
12,0.5321,0.0100,0.0164,0.0147,0.1295,0.0147
13,0.5286,0.0099,0.0164,0.0148,0.1307,0.0148
14,0.5253,0.0100,0.0167,0.0151,0.1327,0.0151
15,0.5215,0.0107,0.0175,0.0156,0.1364,0.0156
