Epoch,Loss,Recall@10,NDCG@10,Precision@10,HitRate@10,Accuracy@10
1,13.7178,0.0029,0.0039,0.0041,0.0399,0.0041
2,12.4224,0.0029,0.0044,0.0047,0.0446,0.0047
3,11.2026,0.0034,0.0056,0.0058,0.0548,0.0058
4,10.0549,0.0046,0.0072,0.0073,0.0685,0.0073
5,8.9772,0.0054,0.0087,0.0087,0.0808,0.0087
6,7.9683,0.0060,0.0099,0.0094,0.0868,0.0094
7,7.0284,0.0062,0.0107,0.0098,0.0905,0.0098
8,6.1584,0.0064,0.0116,0.0102,0.0935,0.0102
9,5.3606,0.0066,0.0123,0.0104,0.0960,0.0104
10,4.6380,0.0065,0.0126,0.0103,0.0952,0.0103
11,3.9943,0.0064,0.0129,0.0104,0.0955,0.0104
12,3.4333,0.0063,0.0132,0.0106,0.0960,0.0106
13,2.9578,0.0065,0.0134,0.0105,0.0964,0.0105
14,2.5689,0.0067,0.0135,0.0107,0.0977,0.0107
15,2.2650,0.0067,0.0136,0.0107,0.0990,0.0107
