Epoch,Loss,Recall@10,NDCG@10,Precision@10,HitRate@10,Accuracy@10
1,77.9717,0.0035,0.0058,0.0049,0.0456,0.0049
2,77.2510,0.0035,0.0057,0.0048,0.0452,0.0048
3,76.5375,0.0034,0.0057,0.0048,0.0449,0.0048
4,75.8310,0.0034,0.0056,0.0048,0.0446,0.0048
5,75.1316,0.0034,0.0056,0.0047,0.0441,0.0047
6,74.4395,0.0034,0.0056,0.0047,0.0442,0.0047
7,73.7546,0.0034,0.0056,0.0047,0.0441,0.0047
8,73.0769,0.0034,0.0056,0.0047,0.0441,0.0047
9,72.4065,0.0034,0.0056,0.0047,0.0441,0.0047
10,71.7435,0.0035,0.0056,0.0047,0.0441,0.0047
11,71.0878,0.0035,0.0056,0.0047,0.0439,0.0047
12,70.4394,0.0034,0.0055,0.0046,0.0434,0.0046
13,69.7983,0.0034,0.0056,0.0047,0.0436,0.0047
14,69.1646,0.0034,0.0055,0.0046,0.0431,0.0046
15,68.5382,0.0034,0.0055,0.0046,0.0431,0.0046
