Epoch,Loss,Recall@10,NDCG@10,Precision@10,HitRate@10,Accuracy@10
1,46.2786,0.0032,0.0053,0.0048,0.0464,0.0048
2,45.1527,0.0032,0.0052,0.0048,0.0463,0.0048
3,44.0610,0.0032,0.0052,0.0048,0.0461,0.0048
4,43.0033,0.0031,0.0052,0.0048,0.0463,0.0048
5,41.9792,0.0031,0.0051,0.0048,0.0468,0.0048
6,40.9880,0.0031,0.0051,0.0048,0.0463,0.0048
7,40.0293,0.0031,0.0051,0.0048,0.0466,0.0048
8,39.1025,0.0031,0.0050,0.0047,0.0454,0.0047
9,38.2067,0.0029,0.0048,0.0046,0.0442,0.0046
10,37.3414,0.0029,0.0048,0.0046,0.0441,0.0046
11,36.5058,0.0028,0.0047,0.0045,0.0431,0.0045
12,35.6991,0.0026,0.0046,0.0043,0.0419,0.0043
13,34.9205,0.0027,0.0047,0.0044,0.0427,0.0044
14,34.1692,0.0027,0.0046,0.0044,0.0424,0.0044
15,33.4444,0.0026,0.0045,0.0043,0.0411,0.0043
