Epoch,Loss,Recall@10,NDCG@10,Precision@10,HitRate@10,Accuracy@10
1,12.8220,0.0043,0.0083,0.0072,0.0682,0.0072
2,10.8668,0.0047,0.0084,0.0076,0.0721,0.0076
3,9.0634,0.0047,0.0082,0.0077,0.0732,0.0077
4,7.4150,0.0047,0.0079,0.0075,0.0714,0.0075
5,5.9300,0.0044,0.0077,0.0074,0.0695,0.0074
6,4.6235,0.0043,0.0076,0.0072,0.0677,0.0072
7,3.5179,0.0042,0.0077,0.0072,0.0675,0.0072
8,2.6412,0.0043,0.0079,0.0075,0.0701,0.0075
9,2.0217,0.0044,0.0082,0.0076,0.0721,0.0076
10,1.6751,0.0045,0.0084,0.0077,0.0726,0.0077
11,1.5833,0.0046,0.0086,0.0076,0.0721,0.0076
12,1.6783,0.0047,0.0088,0.0076,0.0721,0.0076
13,1.8562,0.0047,0.0086,0.0076,0.0716,0.0076
14,2.0166,0.0047,0.0084,0.0076,0.0709,0.0076
15,2.0972,0.0048,0.0083,0.0076,0.0712,0.0076
